repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
freeCodeCamp/freeCodeCamp,adityaarakeri,United States,384,262
freeCodeCamp/freeCodeCamp,NicholausJ,United States,384,262
freeCodeCamp/freeCodeCamp,nathanhannig,United States,384,262
freeCodeCamp/freeCodeCamp,marcusparsons,United States,384,262
freeCodeCamp/freeCodeCamp,Hahlh,Germany,384,262
freeCodeCamp/freeCodeCamp,lalov1,United States,384,262
freeCodeCamp/freeCodeCamp,JosephinesGhost,Brazil,384,262
freeCodeCamp/freeCodeCamp,gabrieldomene,Brazil,384,262
freeCodeCamp/freeCodeCamp,storbeck,United States,384,262
freeCodeCamp/freeCodeCamp,iabrenne,United States,384,262
freeCodeCamp/freeCodeCamp,jamigibbs,United States,384,262
freeCodeCamp/freeCodeCamp,jnahan,United States,384,262
freeCodeCamp/freeCodeCamp,pha3t0n,United States,384,262
freeCodeCamp/freeCodeCamp,eulerkochy,India,384,262
freeCodeCamp/freeCodeCamp,Renthos,United States,384,262
freeCodeCamp/freeCodeCamp,Vrturo,United States,384,262
freeCodeCamp/freeCodeCamp,brianacowles,United States,384,262
freeCodeCamp/freeCodeCamp,cmjesz,United States,384,262
freeCodeCamp/freeCodeCamp,crs2here,United States,384,262
freeCodeCamp/freeCodeCamp,Adarsh-sophos,India,384,262
freeCodeCamp/freeCodeCamp,AdrianoCh,Brazil,384,262
freeCodeCamp/freeCodeCamp,AkshayBabbar,India,384,262
freeCodeCamp/freeCodeCamp,alagumuthiah,United States,384,262
freeCodeCamp/freeCodeCamp,awwakum,Germany,384,262
freeCodeCamp/freeCodeCamp,alex-hjkl,Germany,384,262
freeCodeCamp/freeCodeCamp,amit-deshwal,India,384,262
freeCodeCamp/freeCodeCamp,amylearnscode,United States,384,262
freeCodeCamp/freeCodeCamp,abutler911,United States,384,262
codecrafters-io/build-your-own-x,rohitpaulk,United States,121,83
codecrafters-io/build-your-own-x,bauripalash,India,121,83
codecrafters-io/build-your-own-x,mstuttgart,Brazil,121,83
codecrafters-io/build-your-own-x,imlakshay08,India,121,83
codecrafters-io/build-your-own-x,joaorlima,Brazil,121,83
codecrafters-io/build-your-own-x,danielbarnes175,United States,121,83
codecrafters-io/build-your-own-x,M0nica,United States,121,83
codecrafters-io/build-your-own-x,lotharschulz,Germany,121,83
codecrafters-io/build-your-own-x,vasanthk,United States,121,83
codecrafters-io/build-your-own-x,toolboc,United States,121,83
codecrafters-io/build-your-own-x,cliffordfajardo,United States,121,83
codecrafters-io/build-your-own-x,RohithS98,India,121,83
codecrafters-io/build-your-own-x,sujaldev,India,121,83
codecrafters-io/build-your-own-x,trekhleb,United States,121,83
codecrafters-io/build-your-own-x,ncharlton02,United States,121,83
codecrafters-io/build-your-own-x,micheleriva,United States,121,83
codecrafters-io/build-your-own-x,friendlymatthew,United States,121,83
codecrafters-io/build-your-own-x,karandeeppotato,India,121,83
codecrafters-io/build-your-own-x,viniciusbds,Brazil,121,83
codecrafters-io/build-your-own-x,UmanShahzad,United States,121,83
codecrafters-io/build-your-own-x,EduardoJM,Brazil,121,83
codecrafters-io/build-your-own-x,matheus-consoli,Brazil,121,83
codecrafters-io/build-your-own-x,ConanChou,United States,121,83
codecrafters-io/build-your-own-x,cmfcmf,Germany,121,83
codecrafters-io/build-your-own-x,Chaitya62,India,121,83
codecrafters-io/build-your-own-x,bsinky,United States,121,83
codecrafters-io/build-your-own-x,OAyomide,Germany,121,83
codecrafters-io/build-your-own-x,AlexFloresVeliz,United States,121,83
codecrafters-io/build-your-own-x,aasisodiya,India,121,83
