repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
freeCodeCamp/freeCodeCamp,SteveLee1287,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,StraubJones,United States,5990,5299
freeCodeCamp/freeCodeCamp,Sumanth077,India,5990,5299
freeCodeCamp/freeCodeCamp,TGHeadle1371,United States,5990,5299
freeCodeCamp/freeCodeCamp,TanuAgrawal123,India,5990,5299
freeCodeCamp/freeCodeCamp,TechSolomon,United States,5990,5299
freeCodeCamp/freeCodeCamp,Tess2016,United States,5990,5299
freeCodeCamp/freeCodeCamp,TheMangoFuture,United States,5990,5299
freeCodeCamp/freeCodeCamp,ThePrakashKumar,India,5990,5299
freeCodeCamp/freeCodeCamp,Thegillie,United States,5990,5299
freeCodeCamp/freeCodeCamp,TrevorBrowning,United States,5990,5299
freeCodeCamp/freeCodeCamp,TylerMoeller,United States,5990,5299
freeCodeCamp/freeCodeCamp,UTpH,United States,5990,5299
freeCodeCamp/freeCodeCamp,Ulf,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Usinha31,India,5990,5299
freeCodeCamp/freeCodeCamp,ValeroM,United States,5990,5299
freeCodeCamp/freeCodeCamp,Vijaychandra-Govindapalle,India,5990,5299
freeCodeCamp/freeCodeCamp,Web-Dev-Codi,Germany,5990,5299
freeCodeCamp/freeCodeCamp,WhosMyName,Germany,5990,5299
freeCodeCamp/freeCodeCamp,WilliamPrb,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Yggdrasil09,India,5990,5299
freeCodeCamp/freeCodeCamp,ZoreAnkit,India,5990,5299
freeCodeCamp/freeCodeCamp,aakash-a-dev,India,5990,5299
freeCodeCamp/freeCodeCamp,aaron,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,aaronli39,United States,5990,5299
freeCodeCamp/freeCodeCamp,aaronmccollum,United States,5990,5299
freeCodeCamp/freeCodeCamp,abhikulshrestha22,India,5990,5299
freeCodeCamp/freeCodeCamp,abhinavkgrd,India,5990,5299
