repo_name,repo_url,login,profile_url,location,country
bootstrap,https://github.com/twbs/bootstrap,matthewpennell,https://github.com/matthewpennell,"Cambridge, United Kingdom",United Kingdom
vscode,https://github.com/microsoft/vscode,bpasero,https://github.com/bpasero,"Zurich, Switzerland",Switzerland
PowerToys,https://github.com/microsoft/PowerToys,Sirozha1337,https://github.com/Sirozha1337,"Novi Sad, Serbia",Serbia
ollama,https://github.com/ollama/ollama,nikeshparajuli,https://github.com/nikeshparajuli,United States,United States
vscode,https://github.com/microsoft/vscode,LuanVSO,https://github.com/LuanVSO,Brasil,Brazil
bootstrap,https://github.com/twbs/bootstrap,mlmorg,https://github.com/mlmorg,San Francisco,United States
tensorflow,https://github.com/tensorflow/tensorflow,yongtang,https://github.com/yongtang,"San Francisco Bay Area, CA",Canada
flutter,https://github.com/flutter/flutter,richkadel,https://github.com/richkadel,"San Diego, CA",Canada
PowerToys,https://github.com/microsoft/PowerToys,skttl,https://github.com/skttl,"Odense, Denmark",Denmark
transformers,https://github.com/huggingface/transformers,XuehaiPan,https://github.com/XuehaiPan,"Peking University, Beijing",China
ollama,https://github.com/ollama/ollama,MagicFun1241,https://github.com/MagicFun1241,"Russia, Volgograd",Russia
vscode,https://github.com/microsoft/vscode,jswillard,https://github.com/jswillard,"Boulder, CO",Colombia
bootstrap,https://github.com/twbs/bootstrap,Flydiverny,https://github.com/Flydiverny,Sweden,Sweden
transformers,https://github.com/huggingface/transformers,gentaiscool,https://github.com/gentaiscool,New York,United States
ollama,https://github.com/ollama/ollama,nischalj10,https://github.com/nischalj10,San Francisco,United States
transformers,https://github.com/huggingface/transformers,aphedges,https://github.com/aphedges,United States,United States
vscode,https://github.com/microsoft/vscode,gayanper,https://github.com/gayanper,"Oslo, Norway",Norway
PowerToys,https://github.com/microsoft/PowerToys,tomer,https://github.com/tomer,Israel,Israel
vscode,https://github.com/microsoft/vscode,jasongin,https://github.com/jasongin,"Honolulu, Hawaii, USA",United States
bootstrap,https://github.com/twbs/bootstrap,gruviimark,https://github.com/gruviimark,United States,United States
transformers,https://github.com/huggingface/transformers,aliencaocao,https://github.com/aliencaocao,Singapore,Singapore
cheat.sh,https://github.com/chubin/cheat.sh,abitrolly,https://github.com/abitrolly,The Land of Dinosaurs,United States
ollama,https://github.com/ollama/ollama,lstep,https://github.com/lstep,France,France
bootstrap,https://github.com/twbs/bootstrap,markdumay,https://github.com/markdumay,"The Hague, The Netherlands",Netherlands
system-design-primer,https://github.com/donnemartin/system-design-primer,ianpark,https://github.com/ianpark,United Kingdom,United Kingdom
flutter,https://github.com/flutter/flutter,danw,https://github.com/danw,"Mountain View, CA",Canada
PowerToys,https://github.com/microsoft/PowerToys,kubalav,https://github.com/kubalav,Slovakia,Slovakia
transformers,https://github.com/huggingface/transformers,cakiki,https://github.com/cakiki,"Leipzig, Germany",Germany
bootstrap,https://github.com/twbs/bootstrap,marios-zindilis,https://github.com/marios-zindilis,Ireland,Ireland
ollama,https://github.com/ollama/ollama,madiator,https://github.com/madiator,Bay Area,United States
vscode,https://github.com/microsoft/vscode,thegecko,https://github.com/thegecko,"Cambridge, UK",United Kingdom
transformers,https://github.com/huggingface/transformers,ebezzam,https://github.com/ebezzam,"Lausanne, Switzerland",Switzerland
flutter,https://github.com/flutter/flutter,willlarche,https://github.com/willlarche,"New York, NY",United States
transformers,https://github.com/huggingface/transformers,hackyon,https://github.com/hackyon,New York,United States
n8n,https://github.com/n8n-io/n8n,krynble,https://github.com/krynble,"Porto, Portugal",Portugal
vue,https://github.com/vuejs/vue,BrandonSurowiec,https://github.com/BrandonSurowiec,"Flint, MI",United States
vue,https://github.com/vuejs/vue,brendanbowidas,https://github.com/brendanbowidas,"New Haven, CT",United States
ollama,https://github.com/ollama/ollama,szczyglis-dev,https://github.com/szczyglis-dev,Poland,Poland
vscode,https://github.com/microsoft/vscode,wistcc,https://github.com/wistcc,Sweden,Sweden
bootstrap,https://github.com/twbs/bootstrap,lukeapage,https://github.com/lukeapage,"Copenhagen, Denmark",Denmark
PowerToys,https://github.com/microsoft/PowerToys,Artoria2e5,https://github.com/Artoria2e5,"Shanghai, CN",China
go,https://github.com/golang/go,mdempsky,https://github.com/mdempsky,"Westminster, CO",Colombia
ollama,https://github.com/ollama/ollama,marco-souza,https://github.com/marco-souza,Brazil,Brazil
vscode,https://github.com/microsoft/vscode,ArtemGovorov,https://github.com/ArtemGovorov,"Gold Coast, Australia",Australia
bootstrap,https://github.com/twbs/bootstrap,splendido,https://github.com/splendido,"Zurich, Switzerland",Switzerland
PowerToys,https://github.com/microsoft/PowerToys,shufflecode,https://github.com/shufflecode,Ludwigsburg / Germany,Germany
flutter,https://github.com/flutter/flutter,JsouLiang,https://github.com/JsouLiang,Beijing,China
PowerToys,https://github.com/microsoft/PowerToys,pavelzw,https://github.com/pavelzw,"Zurich, Switzerland",Switzerland
ollama,https://github.com/ollama/ollama,remarkablemark,https://github.com/remarkablemark,New York,United States
vscode,https://github.com/microsoft/vscode,hermannloose,https://github.com/hermannloose,"Munich, Germany",Germany
bootstrap,https://github.com/twbs/bootstrap,raajtram,https://github.com/raajtram,Florida ⛱,United States
PowerToys,https://github.com/microsoft/PowerToys,masaru-iritani,https://github.com/masaru-iritani,"Kagawa, Japan",Japan
transformers,https://github.com/huggingface/transformers,thevasudevgupta,https://github.com/thevasudevgupta,"New Delhi, India",India
ollama,https://github.com/ollama/ollama,mateuszmigas,https://github.com/mateuszmigas,Poland,Poland
vscode,https://github.com/microsoft/vscode,initialshl,https://github.com/initialshl,"Mountain View, CA",Canada
bootstrap,https://github.com/twbs/bootstrap,hfhbd,https://github.com/hfhbd,Germany,Germany
flutter,https://github.com/flutter/flutter,JoseAlba,https://github.com/JoseAlba,"New York City, United States",United States
PowerToys,https://github.com/microsoft/PowerToys,Megasware128,https://github.com/Megasware128,The Netherlands,Netherlands
transformers,https://github.com/huggingface/transformers,FeiWang96,https://github.com/FeiWang96,Los Angeles,United States
ollama,https://github.com/ollama/ollama,kassane,https://github.com/kassane,"Bahia, Brazil",Brazil
bootstrap,https://github.com/twbs/bootstrap,philfreo,https://github.com/philfreo,"St. Augustine, FL",United States
flutter,https://github.com/flutter/flutter,fkorotkov,https://github.com/fkorotkov,NYC,United States
PowerToys,https://github.com/microsoft/PowerToys,jondaniels,https://github.com/jondaniels,"Eugene, OR",United States
transformers,https://github.com/huggingface/transformers,jungnerd,https://github.com/jungnerd,"Seoul, South Korea","Korea, Republic of"
ollama,https://github.com/ollama/ollama,mattt,https://github.com/mattt,"Portland, OR",United States
vscode,https://github.com/microsoft/vscode,ryu1kn,https://github.com/ryu1kn,"Melbourne, Australia",Australia
bootstrap,https://github.com/twbs/bootstrap,paultyng,https://github.com/paultyng,"Baltimore, MD","Moldova, Republic of"
transformers,https://github.com/huggingface/transformers,HanNayeoniee,https://github.com/HanNayeoniee,"Seoul, Korea","Korea, Republic of"
ollama,https://github.com/ollama/ollama,lofcz,https://github.com/lofcz,Czech republic,Czechia
vscode,https://github.com/microsoft/vscode,mymikemiller,https://github.com/mymikemiller,"Austin, TX",United States
PowerToys,https://github.com/microsoft/PowerToys,khmyznikov,https://github.com/khmyznikov,"Belgrade, Serbia",Serbia
ollama,https://github.com/ollama/ollama,textspur,https://github.com/textspur,Frankfurt,Germany
n8n,https://github.com/n8n-io/n8n,CharlieKolb,https://github.com/CharlieKolb,Bochum,Germany
flutter,https://github.com/flutter/flutter,jnschulze,https://github.com/jnschulze,"Frankfurt, DE",Germany
PowerToys,https://github.com/microsoft/PowerToys,FWest98,https://github.com/FWest98,The Netherlands,Netherlands
vscode,https://github.com/microsoft/vscode,auchenberg,https://github.com/auchenberg,"New York, US",United States
bootstrap,https://github.com/twbs/bootstrap,omeid,https://github.com/omeid,"Sydney, Australia ",Australia
PowerToys,https://github.com/microsoft/PowerToys,dillydylann,https://github.com/dillydylann,"Phoenix, AZ",Azerbaijan
awesome-go,https://github.com/avelino/awesome-go,kirillDanshin,https://github.com/kirillDanshin,Poland,Poland
vscode,https://github.com/microsoft/vscode,HaoboGu,https://github.com/HaoboGu,Hangzhou,China
bootstrap,https://github.com/twbs/bootstrap,septatrix,https://github.com/septatrix,Germany,Germany
transformers,https://github.com/huggingface/transformers,NielsRogge,https://github.com/NielsRogge,Belgium,Belgium
flutter,https://github.com/flutter/flutter,ianloic,https://github.com/ianloic,"Alameda, California",United States
transformers,https://github.com/huggingface/transformers,ariG23498,https://github.com/ariG23498,"Kolkata,WestBengal",India
ollama,https://github.com/ollama/ollama,melroy89,https://github.com/melroy89,"Tiel, The Netherlands",Netherlands
vscode,https://github.com/microsoft/vscode,hamirmahal,https://github.com/hamirmahal,San Francisco Bay Area,United States
bootstrap,https://github.com/twbs/bootstrap,stubbornella,https://github.com/stubbornella,San Francisco,United States
transformers,https://github.com/huggingface/transformers,agemagician,https://github.com/agemagician,Germany,Germany
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,richbeales,https://github.com/richbeales,"Kent, UK",United Kingdom
ollama,https://github.com/ollama/ollama,bean5,https://github.com/bean5,USA,United States
vscode,https://github.com/microsoft/vscode,GustavoASC,https://github.com/GustavoASC,Brazil,Brazil
bootstrap,https://github.com/twbs/bootstrap,kadimi,https://github.com/kadimi,Errachidia - Morocco,Argentina
next.js,https://github.com/vercel/next.js,ztanner,https://github.com/ztanner,"Los Angeles, CA",Canada
PowerToys,https://github.com/microsoft/PowerToys,Deepak-Sangle,https://github.com/Deepak-Sangle,India,India
transformers,https://github.com/huggingface/transformers,jannesgg,https://github.com/jannesgg,"Gothenburg, Sweden",Sweden
ollama,https://github.com/ollama/ollama,promptery,https://github.com/promptery,Nürnberg,Germany
vscode,https://github.com/microsoft/vscode,dgozman,https://github.com/dgozman,"Sunnyvale, CA",Canada
bootstrap,https://github.com/twbs/bootstrap,abitdodgy,https://github.com/abitdodgy,"São Paulo, Brazil",Brazil
Python,https://github.com/TheAlgorithms/Python,CaedenPH,https://github.com/CaedenPH,"Winchester, England",United Kingdom
PowerToys,https://github.com/microsoft/PowerToys,azchohfi,https://github.com/azchohfi,"Redmond, WA",United States
transformers,https://github.com/huggingface/transformers,jerryzh168,https://github.com/jerryzh168,Menlo Park,United States
ollama,https://github.com/ollama/ollama,medoror,https://github.com/medoror,"Austin, TX",United States
bootstrap,https://github.com/twbs/bootstrap,MikeRogers0,https://github.com/MikeRogers0,"London, UK",United Kingdom
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,aarushik93,https://github.com/aarushik93,Berlin,Germany
flutter,https://github.com/flutter/flutter,tonygentilcore,https://github.com/tonygentilcore,"San Francisco, CA",Canada
ollama,https://github.com/ollama/ollama,vorburger,https://github.com/vorburger,Switzerland,Switzerland
bootstrap,https://github.com/twbs/bootstrap,mikefrancis,https://github.com/mikefrancis,eu-west-2,Brazil
PowerToys,https://github.com/microsoft/PowerToys,punker76,https://github.com/punker76,Aachen (Germany),Germany
transformers,https://github.com/huggingface/transformers,nickprock,https://github.com/nickprock,Vibo Valentia,Italy
tensorflow,https://github.com/tensorflow/tensorflow,gunan,https://github.com/gunan,CA,Canada
ollama,https://github.com/ollama/ollama,yangfuhai,https://github.com/yangfuhai,beijing,China
vscode,https://github.com/microsoft/vscode,mjcrouch,https://github.com/mjcrouch,"Surrey, UK",United Kingdom
bootstrap,https://github.com/twbs/bootstrap,mikaelkael,https://github.com/mikaelkael,"Donges, France",France
flutter,https://github.com/flutter/flutter,Gustl22,https://github.com/Gustl22,Bern,Switzerland
transformers,https://github.com/huggingface/transformers,NinoRisteski,https://github.com/NinoRisteski,"Skopje, Macedonia",Северна македонија
ollama,https://github.com/ollama/ollama,ORippler,https://github.com/ORippler,Germany,Germany
vscode,https://github.com/microsoft/vscode,RishabhKothaari,https://github.com/RishabhKothaari,Redmond,United States
flutter,https://github.com/flutter/flutter,mattkae,https://github.com/mattkae,Philadelphia,United States
bootstrap,https://github.com/twbs/bootstrap,evnm,https://github.com/evnm,"San Rafael, CA",Canada
