repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,reviews_submitted,stars_own_repos,stars_contrib_repos,contribution_period,activity_frequency,activity_regularidade,permission_level
go,https://github.com/golang/go,felixge,https://github.com/felixge,"Berlin, Germany",Germany,1,0,0.0,0.0,53,28,1,5715,0.0,5,0.14520547945205478,0.14520547945205478,contributor
go,https://github.com/golang/go,cpu,https://github.com/cpu,"Les Laurentides, Québec",Canada,1,0,0.0,0.0,63,8,0,41,0.0,6,0.1726027397260274,0.1726027397260274,contributor
react-native,https://github.com/facebook/react-native,nissy-dev,https://github.com/nissy-dev,"Tokyo, Japan",Japan,36,0,0.0,0.0,33,0,8,287,0.0,3,0.09041095890410959,0.09041095890410959,contributor
react-native,https://github.com/facebook/react-native,Naturalclar,https://github.com/Naturalclar,"Chiba, Japan",Japan,53,0,0.0,0.0,42,2,7,34,0.0,4,0.11506849315068493,0.11506849315068493,contributor
react-native,https://github.com/facebook/react-native,fred2028,https://github.com/fred2028,Menlo Park,United States,0,0,0.0,0.0,42,0,1,0,0.0,4,0.11506849315068493,0.11506849315068493,contributor
go,https://github.com/golang/go,cespare,https://github.com/cespare,"Kirkland, WA",United States,0,0,0.0,0.0,54,116,0,926,0.0,5,0.14794520547945206,0.14794520547945206,contributor
go,https://github.com/golang/go,bsiegert,https://github.com/bsiegert,Switzerland,Switzerland,0,0,0.0,0.0,48,38,0,25,0.0,4,0.13150684931506848,0.13150684931506848,contributor
go,https://github.com/golang/go,broady,https://github.com/broady,Seattle,United States,0,0,0.0,0.0,60,44,0,240,0.0,6,0.1643835616438356,0.1643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,jangwonyoon,https://github.com/jangwonyoon,"Seoul, Korea","Korea, Republic of",1,1,100.0,8437.1,1,0,0,16,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
react-native,https://github.com/facebook/react-native,kassens,https://github.com/kassens,"New York, New York",United States,6,1,16.67,0.02,39,0,0,253,132.23,3,0.10684931506849316,0.10684931506849316,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,xiaomingfu,https://github.com/xiaomingfu,SF Bay Area,United States,1,1,100.0,2039.78,1,0,0,25,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
