repo_name,repo_id,repo_url,login,profile_url,location,country
stable-diffusion-webui,527591471,https://github.com/AUTOMATIC1111/stable-diffusion-webui,huchenlei,https://github.com/huchenlei,New York,United States
awesome-go,21540759,https://github.com/avelino/awesome-go,hexdigest,https://github.com/hexdigest,"Rochester, NY",United States
ollama,658928958,https://github.com/ollama/ollama,amithkoujalgi,https://github.com/amithkoujalgi,Bangalore,India
Microsoft-Activation-Scripts,233472199,https://github.com/massgravel/Microsoft-Activation-Scripts,KomashiFX,https://github.com/KomashiFX,Brasil,Brazil
n8n,193215554,https://github.com/n8n-io/n8n,Shraddha2104,https://github.com/Shraddha2104,California,United States
JavaGuide,132464395,https://github.com/Snailclimb/JavaGuide,smy1999,https://github.com/smy1999,"Seattle, WA",United States
transformers,155220641,https://github.com/huggingface/transformers,bhadreshpsavani,https://github.com/bhadreshpsavani,"Pune, India",India
javascript,6498492,https://github.com/airbnb/javascript,leonidlebedev,https://github.com/leonidlebedev,Moscow,Brazil
youtube-dl,1039520,https://github.com/ytdl-org/youtube-dl,Dineshs91,https://github.com/Dineshs91,India,India
langflow,599320067,https://github.com/langflow-ai/langflow,MarceloNunesAlves,https://github.com/MarceloNunesAlves,São Paulo,Brazil
awesome-chatgpt-prompts,574523116,https://github.com/f/awesome-chatgpt-prompts,webmonk,https://github.com/webmonk,"Cardiff, Uk",United States
next.js,70107786,https://github.com/vercel/next.js,ijjk,https://github.com/ijjk,"San Francisco, CA",United States
yt-dlp,307260205,https://github.com/yt-dlp/yt-dlp,alexmerkel,https://github.com/alexmerkel,"Bonn, Germany",Germany
tech-interview-handbook,62607227,https://github.com/yangshun/tech-interview-handbook,s7u4rt99,https://github.com/s7u4rt99,New York City,United States
go,23096959,https://github.com/golang/go,agnivade,https://github.com/agnivade,"Bangalore, India",India
scrcpy,111583593,https://github.com/Genymobile/scrcpy,samlii,https://github.com/samlii,Near Chicago,United States
fucking-algorithm,241576270,https://github.com/labuladong/fucking-algorithm,CharlesCCC,https://github.com/CharlesCCC,USA,United States
30-seconds-of-code,112507086,https://github.com/Chalarangelo/30-seconds-of-code,vivek28111992,https://github.com/vivek28111992,"Mumbai, India",India
PowerToys,184456251,https://github.com/microsoft/PowerToys,dsrivastavv,https://github.com/dsrivastavv,"San Diego, US",United States
react-native,29028775,https://github.com/facebook/react-native,shergin,https://github.com/shergin,"Austin, TX",United States
electron,9384267,https://github.com/electron/electron,samuelmaddock,https://github.com/samuelmaddock,"New York, NY",United States
langchain,552661142,https://github.com/langchain-ai/langchain,nfcampos,https://github.com/nfcampos,San Francisco,United States
kubernetes,20580498,https://github.com/kubernetes/kubernetes,sttts,https://github.com/sttts,Germany,Germany
hello-algo,561730219,https://github.com/krahets/hello-algo,pengchzn,https://github.com/pengchzn,"Londa, Canda",United States
dify,626805178,https://github.com/langgenius/dify,chazzhou,https://github.com/chazzhou,"New York, NY",United States
free-programming-books-zh_CN,14098069,https://github.com/justjavac/free-programming-books-zh_CN,theJian,https://github.com/theJian,The place where there is no darkness.,Brazil
free-for-dev,32484381,https://github.com/ripienaar/free-for-dev,motdotla,https://github.com/motdotla,"Santa Monica, CA",United States
node,27193779,https://github.com/nodejs/node,ofrobots,https://github.com/ofrobots,"SF Bay Area, CA",United States
open-webui,701547123,https://github.com/open-webui/open-webui,Fusseldieb,https://github.com/Fusseldieb,"Brazil, Goiás",Brazil
d3,943149,https://github.com/d3/d3,pjjw,https://github.com/pjjw,"new york, ny",United States
excalidraw,231283452,https://github.com/excalidraw/excalidraw,nanot1m,https://github.com/nanot1m,Berlin,Germany
three.js,576201,https://github.com/mrdoob/three.js,zz85,https://github.com/zz85,Seattle,United States
axios,23088740,https://github.com/axios/axios,reggi,https://github.com/reggi,"Astoria, NYC",United States
rust,724712,https://github.com/rust-lang/rust,Veykril,https://github.com/Veykril,Germany,Germany
TypeScript,20929025,https://github.com/microsoft/TypeScript,sandersn,https://github.com/sandersn,Seattle,United States
deno,133442384,https://github.com/denoland/deno,mhvsa,https://github.com/mhvsa,Warsaw,Brazil
nodebestpractices,103633984,https://github.com/goldbergyoni/nodebestpractices,marcelosdm,https://github.com/marcelosdm,Franca - São Paulo - Brazil,Brazil
create-react-app,63537249,https://github.com/facebook/create-react-app,npverni,https://github.com/npverni,56th and Wabasha,Brazil
godot,15634981,https://github.com/godotengine/godot,pouleyKetchoupp,https://github.com/pouleyKetchoupp,"Phoenix, Arizona",United States
rustdesk,299354207,https://github.com/rustdesk/rustdesk,Mr-Update,https://github.com/Mr-Update,Germany,Germany
generative-ai-for-beginners,655806940,https://github.com/microsoft/generative-ai-for-beginners,SaiHarshaK,https://github.com/SaiHarshaK,Hyderabad,India
terminal,100060912,https://github.com/microsoft/terminal,miniksa,https://github.com/miniksa,"Redmond, WA",United States
frp,48378947,https://github.com/fatedier/frp,velovix,https://github.com/velovix,"Oakland, CA",United States
DeepSeek-V3,908531752,https://github.com/deepseek-ai/DeepSeek-V3,jacksonpradolima,https://github.com/jacksonpradolima,"Curitiba, Brazil",Brazil
Awesome-Hacking,55076063,https://github.com/Hack-with-Github/Awesome-Hacking,sandrogauci,https://github.com/sandrogauci,"Bavaria, Germany",Germany
papers-we-love,15204860,https://github.com/papers-we-love/papers-we-love,dblock,https://github.com/dblock,"New York, NY",United States
angular,24195339,https://github.com/angular/angular,jenniferfell,https://github.com/jenniferfell,"Boise, ID, USA",United States
ui,585146387,https://github.com/shadcn-ui/ui,JugglerX,https://github.com/JugglerX,San Francisco,United States
tauri,196701619,https://github.com/tauri-apps/tauri,tr3ysmith,https://github.com/tr3ysmith,"Sarasota, FL",United States
iptv,157616880,https://github.com/iptv-org/iptv,rblopes,https://github.com/rblopes,"Rio de Janeiro, RJ, BR",Brazil
material-ui,23083156,https://github.com/mui/material-ui,bernardobelchior,https://github.com/bernardobelchior,"Berlin, Germany",Germany
ant-design,34526884,https://github.com/ant-design/ant-design,rinick,https://github.com/rinick,Bay Area,United States
HowToCook,243950408,https://github.com/Anduin2017/HowToCook,OneZe1023,https://github.com/OneZe1023,"Changchun, Jilin",United States
thefuck,33614304,https://github.com/nvbn/thefuck,Brobin,https://github.com/Brobin,United States,United States
pytorch,65600975,https://github.com/pytorch/pytorch,jeffdaily,https://github.com/jeffdaily,"Richland, WA",United States
clean-code-javascript,74791366,https://github.com/ryanmcdermott/clean-code-javascript,ngdo-pro,https://github.com/ngdo-pro,Brittany,United States
every-programmer-should-know,101296881,https://github.com/mtdvio/every-programmer-should-know,YurokBo,https://github.com/YurokBo,Moscow,Brazil
neovim,16408992,https://github.com/neovim/neovim,MariaSolOs,https://github.com/MariaSolOs,"Seattle, WA",United States
system-prompts-and-models-of-ai-tools,943398999,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,WesleyMaik,https://github.com/WesleyMaik,Campo Grande - MS,Brazil
java-design-patterns,22790488,https://github.com/iluwatar/java-design-patterns,gopinath-langote,https://github.com/gopinath-langote,"Bangalore, India",India
Web-Dev-For-Beginners,311525798,https://github.com/microsoft/Web-Dev-For-Beginners,jlooper,https://github.com/jlooper,Boston,United States
puppeteer,90796663,https://github.com/puppeteer/puppeteer,SlootSantos,https://github.com/SlootSantos,Germany,Germany
ComfyUI,589831718,https://github.com/comfyanonymous/ComfyUI,mcmonkey4eva,https://github.com/mcmonkey4eva,"Los Angeles, California",United States
awesome-mac,63539055,https://github.com/jaywcjlove/awesome-mac,kaveet,https://github.com/kaveet,Austin,United States
DeepSeek-R1,919443098,https://github.com/deepseek-ai/DeepSeek-R1,aBurmeseDev,https://github.com/aBurmeseDev,"Irvine, CA",United States
fastapi,160919119,https://github.com/fastapi/fastapi,marcelomarkus,https://github.com/marcelomarkus,Brasília/DF,Brazil
supabase,214587193,https://github.com/supabase/supabase,w3b6x9,https://github.com/w3b6x9,"New York, NY",United States
tailwindcss,106017343,https://github.com/tailwindlabs/tailwindcss,jackmcdade,https://github.com/jackmcdade,"Ormond Beach, FL",United States
whisper,537603333,https://github.com/openai/whisper,jongwook,https://github.com/jongwook,"San Francisco, CA",United States
vue-element-admin,88464704,https://github.com/PanJiaChen/vue-element-admin,Armour,https://github.com/Armour,Munich,Germany
v2rayN,199570071,https://github.com/2dust/v2rayN,EdiWang,https://github.com/EdiWang,United States,United States
nvm,612230,https://github.com/nvm-sh/nvm,lencioni,https://github.com/lencioni,"Northfield, Minnesota, USA",United States
llama.cpp,612354784,https://github.com/ggml-org/llama.cpp,m18coppola,https://github.com/m18coppola,New York,United States
storybook,54173593,https://github.com/storybookjs/storybook,aaronmcadam,https://github.com/aaronmcadam,"Leicester, UK",Brazil
app-ideas,172562475,https://github.com/florinpop17/app-ideas,Tobibur,https://github.com/Tobibur,"Guwahati, India",India
gin,20904437,https://github.com/gin-gonic/gin,bullgare,https://github.com/bullgare,Germany,Germany
bitcoin,1181927,https://github.com/bitcoin/bitcoin,eklitzke,https://github.com/eklitzke,"San Francisco, CA",United States
NextChat,612344730,https://github.com/ChatGPTNextWeb/NextChat,danielgwilson,https://github.com/danielgwilson,"San Francisco, CA",United States
django,4164482,https://github.com/django/django,David-Wobrock,https://github.com/David-Wobrock,"Berlin, Germany",Germany
opencv,5108051,https://github.com/opencv/opencv,pclove1,https://github.com/pclove1,"San Francisco Bay Area, CA",United States
svelte,74293321,https://github.com/sveltejs/svelte,andrelmlins,https://github.com/andrelmlins,"Florianópolis, Brazil",Brazil
hugo,11180687,https://github.com/gohugoio/hugo,jmhodges,https://github.com/jmhodges,San Francisco,United States
mermaid,26066727,https://github.com/mermaid-js/mermaid,BastianZim,https://github.com/BastianZim,New York,United States
immich,455229168,https://github.com/immich-app/immich,alextran1502,https://github.com/alextran1502,United States,United States
laravel,1863329,https://github.com/laravel/laravel,daylerees,https://github.com/daylerees,"Wales, UK",United States
realworld,52631841,https://github.com/gothinkster/realworld,ryansolid,https://github.com/ryansolid,San Jose CA,United States
animate.css,2561582,https://github.com/animate-css/animate.css,SWatchmaker,https://github.com/SWatchmaker,"Santiago, Chile.",United States
markitdown,888092115,https://github.com/microsoft/markitdown,cybernobie,https://github.com/cybernobie,India,India
